Distance_km,Traffic_Level,Weather,Road_Type,Vehicle_Type,Avg_Speed_kmph,Number_of_Signals,Day_of_Week,Time_of_Day,Travel_Time_Minutes
19.1,High,Clear,City,Car,37.5,15,Monday,Night,42.3
34.8,High,Cloudy,Highway,Car,58.3,9,Sunday,Afternoon,48.6
33.8,Low,Clear,Highway,Car,84.6,7,Wednesday,Afternoon,27.7
36.3,Low,Cloudy,Highway,Bus,67.0,7,Wednesday,Afternoon,36.8
14.9,Medium,Clear,Highway,Car,65.9,4,Saturday,Morning,16.1
17.2,Medium,Clear,Highway,Car,70.2,4,Saturday,Night,17.5
8.0,Low,Cloudy,Rural,Car,49.4,4,Thursday,Peak Hour,12.8
33.5,Medium,Rain,City,Bus,19.7,18,Sunday,Afternoon,110.9
3.9,Low,Clear,City,Car,49.3,9,Sunday,Night,9.8
30.7,High,Cloudy,Highway,Car,48.6,8,Monday,Peak Hour,50.5
43.7,Low,Rain,Rural,Bike,58.4,9,Thursday,Night,48.6
44.8,Medium,Cloudy,City,Bike,44.0,21,Monday,Morning,71.7
23.6,Low,Clear,Highway,Car,73.2,5,Thursday,Peak Hour,27.1
24.0,Medium,Clear,City,Car,38.0,15,Tuesday,Afternoon,45.8
5.7,Medium,Rain,City,Car,29.9,10,Tuesday,Afternoon,20.3
34.2,Low,Clear,Highway,Car,75.2,7,Friday,Morning,29.6
41.4,High,Rain,City,Car,24.1,22,Thursday,Evening,120.8
13.7,High,Cloudy,City,Car,25.1,14,Sunday,Morning,39.4
22.2,High,Rain,Highway,Car,49.1,7,Saturday,Afternoon,39.5
42.3,High,Rain,Rural,Car,26.3,11,Wednesday,Afternoon,108.9
44.1,Medium,Fog,City,Bike,44.7,21,Friday,Night,73.4
13.7,High,Clear,City,Bus,15.0,14,Saturday,Peak Hour,71.4
28.4,Low,Rain,City,Bike,45.3,16,Tuesday,Afternoon,47.9
11.2,Low,Clear,City,Car,43.7,11,Thursday,Peak Hour,24.0
6.9,Low,Clear,City,Car,44.4,10,Friday,Peak Hour,14.7
45.7,Low,Cloudy,City,Bus,42.8,21,Thursday,Night,72.2
41.4,Medium,Rain,Highway,Car,69.2,8,Tuesday,Morning,45.6
38.5,Low,Fog,City,Car,40.0,19,Friday,Night,67.9
4.3,High,Rain,City,Bike,15.0,11,Tuesday,Peak Hour,36.7
42.5,Medium,Clear,City,Bike,44.0,20,Monday,Night,67.8
23.0,Low,Clear,Highway,Bike,86.2,5,Tuesday,Afternoon,14.9
18.4,Medium,Cloudy,City,Car,42.3,13,Sunday,Evening,34.7
28.2,Low,Clear,Highway,Car,71.4,6,Sunday,Evening,25.5
6.4,High,Clear,Highway,Bus,51.8,5,Thursday,Evening,14.7
38.3,Low,Clear,Highway,Car,80.7,7,Wednesday,Morning,33.1
30.0,High,Clear,Highway,Bike,66.4,8,Tuesday,Afternoon,37.6
11.0,High,Clear,City,Bike,32.6,13,Saturday,Night,30.5
11.0,Low,Clear,City,Bike,43.6,11,Sunday,Peak Hour,22.6
10.8,Low,Clear,Highway,Car,83.0,4,Wednesday,Morning,10.4
4.7,High,Clear,Rural,Car,32.6,6,Monday,Peak Hour,24.5
30.2,Medium,Fog,Rural,Bike,46.9,7,Friday,Afternoon,47.7
42.3,Medium,Clear,Rural,Bus,38.9,9,Friday,Evening,73.5
2.8,High,Clear,Highway,Bus,47.6,4,Sunday,Night,10.9
4.4,Low,Cloudy,City,Car,40.8,9,Wednesday,Night,10.8
29.5,Medium,Clear,Rural,Car,45.3,7,Sunday,Peak Hour,47.5
41.3,Low,Rain,City,Bus,35.7,20,Friday,Afternoon,82.2
17.7,High,Rain,Highway,Bike,43.1,7,Tuesday,Peak Hour,44.9
18.8,Medium,Clear,Highway,Bus,59.8,5,Wednesday,Morning,23.7
30.6,Low,Clear,City,Car,48.1,17,Thursday,Night,48.1
15.2,Low,Rain,Rural,Bike,51.1,5,Tuesday,Night,22.9
3.3,Low,Rain,City,Bike,43.7,9,Tuesday,Night,8.3
37.3,Low,Clear,City,Bike,50.5,19,Tuesday,Afternoon,50.0
32.0,Medium,Cloudy,Highway,Car,57.4,7,Thursday,Peak Hour,45.5
29.9,Medium,Clear,City,Car,37.0,17,Monday,Morning,58.9
37.6,High,Fog,City,Bike,15.0,21,Saturday,Morning,174.5
34.4,Medium,Clear,City,Car,48.1,18,Sunday,Night,49.4
11.9,Low,Rain,City,Car,44.0,11,Friday,Evening,22.1
18.9,Medium,Cloudy,Rural,Bus,35.9,6,Sunday,Night,35.0
8.1,High,Cloudy,Highway,Car,56.1,5,Wednesday,Afternoon,17.5
8.2,Medium,Cloudy,City,Bike,43.7,10,Monday,Morning,19.4
34.5,High,Clear,Highway,Car,62.8,9,Wednesday,Night,43.3
43.2,Medium,Clear,City,Bike,38.7,20,Sunday,Evening,75.1
48.2,Medium,Clear,City,Bus,36.4,22,Friday,Morning,93.6
32.2,Medium,Clear,City,Car,37.8,17,Thursday,Night,56.8
10.8,Low,Rain,City,Car,33.7,11,Sunday,Evening,30.5
7.1,Low,Clear,City,Car,49.9,10,Tuesday,Evening,13.7
41.0,Low,Clear,Rural,Car,62.2,9,Sunday,Evening,43.6
29.8,Medium,Fog,City,Bike,43.4,17,Tuesday,Night,52.1
31.7,Low,Rain,Highway,Bus,59.2,7,Thursday,Night,38.1
39.5,Medium,Rain,City,Car,34.8,19,Sunday,Night,83.0
35.8,High,Fog,City,Car,15.0,20,Monday,Morning,159.2
42.1,Low,Clear,Highway,Car,83.1,8,Monday,Night,30.8
4.7,Medium,Clear,Rural,Bike,49.1,4,Wednesday,Night,10.1
37.9,High,Rain,Rural,Car,24.9,10,Thursday,Night,104.8
42.8,Low,Cloudy,Highway,Bike,78.9,8,Monday,Afternoon,36.0
15.7,Low,Clear,Rural,Bike,57.3,5,Sunday,Peak Hour,23.2
32.7,Low,Rain,Highway,Bike,74.4,7,Thursday,Night,30.3
17.1,Low,Clear,Highway,Car,82.6,4,Friday,Morning,11.9
48.0,High,Clear,Highway,Bike,67.1,11,Tuesday,Afternoon,53.7
3.6,High,Cloudy,Rural,Car,29.4,6,Sunday,Peak Hour,21.5
29.8,Medium,Cloudy,City,Car,43.5,17,Tuesday,Morning,50.1
10.0,High,Cloudy,Highway,Bus,40.7,5,Tuesday,Peak Hour,32.4
36.2,High,Clear,City,Bike,28.1,20,Thursday,Night,87.2
10.4,Low,Rain,City,Car,44.5,11,Thursday,Evening,22.4
13.3,High,Clear,Highway,Car,55.6,6,Wednesday,Afternoon,24.1
25.7,Medium,Clear,Rural,Car,53.6,7,Tuesday,Afternoon,32.4
45.9,High,Rain,City,Car,18.3,23,Wednesday,Peak Hour,175.5
12.2,High,Fog,City,Car,17.8,13,Tuesday,Afternoon,58.8
8.9,Low,Rain,Rural,Car,46.0,4,Wednesday,Night,15.7
38.4,Low,Rain,City,Car,38.3,19,Wednesday,Afternoon,68.2
26.0,Low,Cloudy,Rural,Bike,67.3,7,Friday,Morning,25.4
45.8,Medium,Cloudy,City,Bike,41.3,21,Wednesday,Morning,72.2
9.0,High,Clear,City,Bike,30.3,13,Thursday,Evening,29.6
33.0,High,Clear,Highway,Car,53.0,9,Wednesday,Peak Hour,53.4
13.2,Low,Clear,Rural,Bus,54.8,5,Tuesday,Afternoon,16.7
9.5,Medium,Clear,City,Bike,46.1,11,Wednesday,Afternoon,22.4
34.8,Medium,Cloudy,Highway,Bike,71.2,7,Monday,Afternoon,36.6
30.5,Low,Clear,Highway,Bike,80.7,6,Saturday,Evening,23.4
38.2,Low,Clear,City,Bus,42.4,19,Tuesday,Evening,63.5
16.9,Low,Clear,City,Car,44.2,13,Monday,Peak Hour,32.8
23.5,High,Cloudy,City,Car,21.0,17,Tuesday,Evening,80.4
21.5,Low,Clear,Rural,Bike,66.3,6,Thursday,Evening,19.3
49.2,Medium,Rain,Highway,Bike,66.5,9,Saturday,Morning,55.9
16.0,Medium,Clear,City,Bike,33.6,13,Saturday,Peak Hour,37.8
16.2,Medium,Clear,Highway,Car,67.0,4,Thursday,Afternoon,20.2
19.0,High,Cloudy,Rural,Car,31.1,8,Saturday,Morning,45.8
29.1,High,Rain,City,Car,15.9,18,Thursday,Evening,126.0
14.1,Low,Clear,City,Bus,43.9,12,Monday,Evening,24.5
45.9,Medium,Cloudy,City,Bike,38.8,21,Friday,Afternoon,82.8
14.8,Low,Cloudy,Highway,Car,77.8,4,Tuesday,Afternoon,14.4
45.0,Low,Clear,City,Car,47.4,21,Thursday,Night,61.5
7.0,Low,Rain,City,Car,41.0,10,Tuesday,Morning,18.2
33.5,Medium,Rain,City,Bus,18.0,18,Monday,Night,122.6
45.5,Medium,Cloudy,City,Bike,38.1,21,Friday,Evening,80.9
10.1,Low,Rain,City,Bike,46.2,11,Monday,Afternoon,25.6
48.5,Low,Rain,City,Car,41.2,22,Saturday,Evening,84.6
23.7,High,Cloudy,Highway,Bike,60.9,7,Tuesday,Afternoon,33.7
47.4,Low,Rain,Highway,Car,67.2,9,Sunday,Night,50.4
34.5,Low,Cloudy,City,Bike,53.3,18,Friday,Evening,46.6
16.5,Medium,Cloudy,City,Car,37.8,13,Saturday,Afternoon,33.7
11.0,High,Cloudy,Highway,Car,52.8,6,Friday,Evening,21.7
16.6,Low,Rain,Highway,Bike,69.0,4,Saturday,Peak Hour,22.3
6.5,Medium,Clear,Highway,Bus,59.9,3,Monday,Afternoon,9.6
8.9,High,Rain,Highway,Car,42.9,5,Thursday,Peak Hour,31.3
7.0,Low,Rain,City,Bike,48.9,10,Tuesday,Afternoon,13.6
22.3,Medium,Clear,City,Car,33.0,14,Wednesday,Morning,48.1
40.2,Medium,Rain,City,Car,29.8,19,Wednesday,Morning,95.0
8.8,Medium,Clear,City,Car,39.0,11,Monday,Afternoon,20.9
8.3,Medium,Clear,City,Car,41.0,10,Tuesday,Morning,17.2
32.9,Medium,Cloudy,City,Car,41.8,17,Tuesday,Morning,57.0
11.5,Low,Clear,City,Car,38.9,11,Monday,Peak Hour,25.1
6.7,High,Rain,Rural,Car,28.0,6,Tuesday,Night,28.3
10.0,Low,Rain,City,Bus,31.9,11,Thursday,Night,27.2
46.3,Low,Cloudy,Highway,Car,73.8,9,Monday,Morning,40.0
41.4,Low,Clear,City,Bike,53.6,20,Thursday,Morning,54.6
19.0,Medium,Clear,Highway,Car,73.1,5,Tuesday,Morning,21.3
33.5,Medium,Cloudy,City,Bike,37.8,18,Monday,Night,65.1
27.8,Low,Fog,Highway,Car,61.7,6,Tuesday,Peak Hour,34.5
34.5,Medium,Cloudy,Highway,Car,60.2,7,Monday,Afternoon,35.3
34.8,Low,Clear,Rural,Car,57.8,8,Tuesday,Morning,42.2
32.2,Medium,Cloudy,Highway,Car,62.7,7,Thursday,Evening,35.0
14.8,Low,Cloudy,City,Car,53.7,12,Sunday,Afternoon,23.4
3.9,Medium,Rain,Highway,Bike,65.9,3,Thursday,Afternoon,8.4
23.9,Medium,Clear,City,Bus,20.2,15,Tuesday,Evening,80.2
44.8,High,Rain,City,Bike,17.0,23,Monday,Night,176.9
29.3,Low,Cloudy,City,Bike,52.1,16,Wednesday,Morning,39.9
42.0,Low,Fog,Highway,Car,70.5,8,Thursday,Morning,41.7
49.6,Low,Clear,Highway,Car,73.5,9,Thursday,Peak Hour,46.0
9.9,High,Cloudy,Highway,Car,55.7,5,Saturday,Afternoon,19.0
35.2,High,Rain,Highway,Car,54.6,9,Wednesday,Morning,51.1
34.4,Low,Clear,City,Car,47.8,18,Tuesday,Morning,51.7
49.0,Medium,Rain,Rural,Car,45.6,10,Sunday,Morning,70.2
49.3,High,Cloudy,Rural,Car,28.5,12,Monday,Afternoon,112.6
35.0,Medium,Clear,City,Car,36.4,18,Saturday,Night,67.8
13.7,Medium,Clear,City,Bike,37.8,12,Tuesday,Afternoon,28.5
40.3,Low,Cloudy,City,Bike,47.9,20,Friday,Evening,56.4
7.1,Low,Clear,Highway,Car,79.8,3,Sunday,Night,7.3
39.5,High,Cloudy,Rural,Bus,24.5,11,Thursday,Evening,109.2
45.7,High,Clear,City,Bus,15.0,23,Friday,Peak Hour,201.5
20.4,Medium,Cloudy,City,Car,25.3,14,Thursday,Peak Hour,60.8
32.3,Low,Clear,Highway,Car,79.2,7,Thursday,Morning,26.6
22.6,Low,Rain,City,Car,36.0,14,Friday,Night,47.3
23.0,Medium,Fog,City,Bus,22.5,15,Sunday,Evening,73.6
16.9,High,Fog,Rural,Bus,15.0,7,Friday,Peak Hour,79.6
38.6,High,Cloudy,City,Car,20.0,21,Tuesday,Evening,133.0
46.9,High,Clear,City,Car,26.4,23,Saturday,Peak Hour,121.5
47.2,Medium,Rain,Rural,Bike,42.0,10,Saturday,Night,79.4
10.4,Low,Clear,Highway,Car,75.5,3,Friday,Afternoon,9.6
44.0,Low,Clear,City,Car,42.6,21,Tuesday,Evening,71.1
37.4,High,Clear,Highway,Bus,41.7,9,Saturday,Peak Hour,71.0
14.1,Medium,Clear,City,Bike,38.7,12,Tuesday,Peak Hour,34.1
5.2,Low,Rain,Rural,Bike,60.0,4,Tuesday,Morning,10.3
14.9,Low,Cloudy,Highway,Bus,79.3,4,Thursday,Night,14.2
45.8,Medium,Clear,Rural,Bike,46.0,10,Saturday,Afternoon,65.0
32.4,Low,Clear,Highway,Car,82.4,7,Saturday,Morning,27.5
36.6,Low,Fog,Rural,Bike,50.8,8,Thursday,Afternoon,54.9
14.3,Medium,Clear,City,Car,37.7,12,Friday,Afternoon,28.2
36.5,Medium,Clear,City,Bike,42.5,18,Thursday,Night,61.0
3.3,Medium,Clear,Highway,Car,66.4,2,Saturday,Afternoon,6.8
20.0,Low,Rain,Rural,Bike,63.7,6,Saturday,Night,26.1
32.1,Medium,Cloudy,City,Car,40.4,17,Sunday,Morning,51.4
9.0,Low,Clear,Highway,Car,80.1,3,Friday,Afternoon,8.7
41.5,Low,Clear,City,Car,55.4,20,Thursday,Afternoon,53.2
13.3,Medium,Cloudy,Highway,Car,60.9,4,Monday,Afternoon,18.8
33.3,Medium,Cloudy,Rural,Bike,46.7,8,Monday,Morning,48.4
21.4,High,Clear,Highway,Bike,54.3,7,Friday,Morning,30.4
30.6,Medium,Fog,City,Car,22.2,17,Thursday,Evening,99.3
7.2,Medium,Clear,City,Car,40.6,10,Thursday,Afternoon,15.7
2.8,Low,Clear,Highway,Car,80.4,2,Tuesday,Afternoon,3.0
45.7,Medium,Rain,Highway,Car,62.6,9,Saturday,Afternoon,50.2
14.9,Low,Clear,Highway,Car,66.4,4,Wednesday,Peak Hour,20.9
41.3,Low,Cloudy,City,Bus,34.2,20,Sunday,Peak Hour,88.7
50.0,High,Clear,Highway,Car,56.0,11,Friday,Evening,64.0
12.1,Medium,Clear,City,Car,42.9,11,Wednesday,Afternoon,25.4
14.7,High,Fog,Highway,Car,38.4,6,Wednesday,Morning,41.9
33.8,Medium,Clear,Highway,Car,63.2,7,Friday,Peak Hour,41.2
48.3,High,Rain,City,Car,15.2,24,Thursday,Morning,205.3
46.0,Medium,Clear,Highway,Bike,73.4,9,Friday,Afternoon,43.8
26.1,Medium,Clear,Rural,Car,52.1,7,Wednesday,Afternoon,33.0
40.2,Medium,Clear,Rural,Car,50.4,9,Saturday,Afternoon,53.3
8.5,Low,Cloudy,City,Car,43.6,10,Sunday,Morning,16.9
48.9,Medium,Clear,City,Car,40.0,22,Sunday,Night,81.0
48.3,Low,Rain,Rural,Car,45.9,10,Saturday,Morning,67.8
9.9,Low,Clear,Highway,Bus,73.6,3,Saturday,Evening,5.1
16.4,Medium,Fog,Highway,Bike,62.2,4,Thursday,Morning,22.5
6.8,Low,Clear,Highway,Bike,89.5,3,Monday,Morning,7.3
15.0,High,Rain,City,Car,15.0,14,Friday,Peak Hour,77.6
41.2,High,Rain,Highway,Car,47.9,10,Sunday,Morning,62.6
20.2,High,Rain,City,Car,16.9,16,Saturday,Night,90.1
6.2,Medium,Rain,Rural,Bike,47.5,4,Friday,Evening,20.1
18.4,Low,Rain,Rural,Bike,54.2,6,Sunday,Morning,27.6
49.1,High,Cloudy,City,Car,19.6,24,Saturday,Peak Hour,171.1
32.2,Medium,Clear,Highway,Car,68.5,7,Sunday,Afternoon,32.7
22.0,High,Clear,City,Car,15.0,16,Thursday,Peak Hour,110.1
10.0,High,Rain,City,Bus,15.0,13,Monday,Morning,60.2
49.3,High,Cloudy,Highway,Bike,47.3,11,Monday,Peak Hour,81.1
41.4,Low,Rain,Highway,Car,72.1,8,Saturday,Morning,37.0
15.5,Medium,Clear,Rural,Car,42.2,5,Sunday,Evening,29.4
5.4,High,Clear,City,Bike,36.7,12,Thursday,Night,18.2
4.7,Low,Clear,City,Car,41.6,9,Tuesday,Peak Hour,12.1
7.8,Low,Cloudy,Rural,Car,48.3,4,Friday,Peak Hour,16.7
29.9,Medium,Clear,City,Car,42.6,17,Friday,Night,49.9
46.6,High,Clear,City,Bike,28.9,23,Wednesday,Peak Hour,113.9
25.8,Medium,Clear,City,Car,39.9,15,Thursday,Morning,47.9
42.5,Medium,Clear,Highway,Car,66.9,8,Sunday,Afternoon,46.5
23.4,Low,Cloudy,City,Bus,31.9,15,Wednesday,Afternoon,51.8
36.0,Medium,Clear,City,Car,37.3,18,Saturday,Afternoon,66.4
37.1,High,Rain,City,Car,17.5,21,Sunday,Afternoon,150.3
10.4,Low,Clear,Rural,Car,57.4,4,Wednesday,Evening,12.4
19.3,Medium,Clear,City,Car,38.6,14,Monday,Morning,37.1
32.6,High,Clear,City,Bike,35.8,19,Friday,Night,64.1
5.4,Medium,Clear,City,Car,37.5,10,Sunday,Morning,16.9
19.4,Medium,Clear,City,Car,39.8,14,Wednesday,Afternoon,39.6
27.7,Medium,Clear,City,Bike,46.7,16,Monday,Evening,45.5
49.8,Medium,Cloudy,Highway,Bike,73.4,9,Thursday,Night,45.3
24.8,Low,Clear,City,Bike,54.8,15,Wednesday,Night,30.2
41.2,High,Cloudy,Highway,Car,49.6,10,Saturday,Evening,64.7
22.7,High,Rain,City,Car,17.5,16,Saturday,Morning,96.1
40.2,High,Rain,City,Bike,18.6,21,Saturday,Evening,150.4
30.6,High,Clear,City,Car,25.8,19,Sunday,Morning,87.5
44.6,Medium,Clear,Rural,Bike,58.0,9,Friday,Afternoon,53.1
21.7,Medium,Clear,City,Bike,44.1,14,Wednesday,Afternoon,34.8
31.0,High,Clear,City,Bike,27.6,19,Thursday,Morning,80.2
32.2,Medium,Fog,City,Car,35.1,17,Wednesday,Afternoon,69.4
22.0,Medium,Clear,City,Car,33.3,14,Friday,Peak Hour,49.2
8.9,High,Clear,Highway,Bike,49.4,5,Monday,Peak Hour,29.3
6.5,High,Cloudy,Highway,Car,53.2,5,Friday,Afternoon,11.4
2.8,Low,Cloudy,City,Car,47.4,9,Saturday,Morning,10.5
43.9,Medium,Cloudy,City,Bus,35.8,21,Sunday,Morning,84.5
13.4,Low,Clear,Highway,Bus,67.6,4,Monday,Afternoon,13.2
12.2,Medium,Clear,Highway,Car,65.9,4,Sunday,Peak Hour,20.2
37.3,Low,Cloudy,Highway,Car,82.6,7,Saturday,Morning,28.1
17.4,Medium,Clear,Rural,Car,47.5,5,Tuesday,Night,24.1
26.3,Medium,Clear,Highway,Bike,73.9,6,Friday,Morning,24.7
9.8,Low,Clear,City,Bus,29.9,11,Friday,Peak Hour,30.5
48.1,Medium,Clear,Highway,Car,69.2,9,Thursday,Afternoon,47.4
42.9,Low,Clear,City,Car,49.9,20,Wednesday,Night,58.3
43.5,Low,Clear,Highway,Bus,74.6,8,Monday,Afternoon,37.4
21.5,High,Cloudy,Highway,Car,56.4,7,Sunday,Evening,35.2
38.6,Medium,Cloudy,City,Car,34.0,19,Monday,Morning,80.7
8.9,Low,Rain,Highway,Bus,56.1,3,Thursday,Morning,14.4
2.4,Medium,Clear,Highway,Car,61.9,2,Thursday,Peak Hour,11.0
3.0,High,Clear,Highway,Bike,56.2,4,Sunday,Peak Hour,13.8
30.2,Low,Clear,Highway,Car,73.0,6,Wednesday,Peak Hour,29.3
23.9,Medium,Cloudy,Highway,Car,62.7,5,Sunday,Evening,27.6
26.9,Low,Cloudy,Highway,Bike,82.5,6,Sunday,Night,24.4
2.4,Low,Clear,City,Car,56.1,9,Saturday,Morning,8.8
22.3,Medium,Rain,City,Bus,25.5,14,Wednesday,Afternoon,64.2
36.5,Medium,Clear,City,Bike,43.5,18,Friday,Afternoon,64.0
23.2,Medium,Cloudy,Highway,Car,62.0,5,Saturday,Evening,25.7
37.1,Medium,Cloudy,Rural,Car,46.3,8,Tuesday,Afternoon,53.9
13.2,High,Rain,City,Car,26.5,14,Wednesday,Morning,43.1
41.0,Medium,Cloudy,Highway,Car,63.3,8,Thursday,Evening,43.5
30.2,Low,Rain,City,Car,41.9,17,Saturday,Night,47.0
12.1,High,Clear,Highway,Car,56.1,6,Wednesday,Afternoon,24.1
13.4,Low,Rain,Highway,Car,76.4,4,Monday,Morning,13.1
32.1,Medium,Clear,City,Bike,52.8,17,Sunday,Morning,50.2
41.8,Low,Rain,Rural,Bike,58.8,9,Tuesday,Afternoon,52.9
22.0,Low,Cloudy,City,Bike,52.3,14,Friday,Afternoon,28.9
14.4,High,Rain,City,Car,17.1,14,Sunday,Evening,66.2
43.6,High,Clear,Rural,Car,25.5,11,Monday,Evening,117.7
34.1,Medium,Cloudy,Highway,Bike,75.0,7,Monday,Night,31.1
23.5,Medium,Cloudy,Highway,Car,67.5,5,Tuesday,Afternoon,26.7
25.4,Low,Cloudy,City,Car,48.7,15,Friday,Night,34.9
11.8,Low,Clear,City,Bike,52.2,11,Thursday,Morning,17.2
32.1,Low,Clear,City,Bike,50.5,17,Saturday,Evening,47.4
19.2,Medium,Clear,Rural,Car,48.4,6,Friday,Night,27.5
49.8,Medium,Clear,City,Car,44.1,22,Wednesday,Morning,77.2
25.0,Medium,Rain,City,Bike,35.5,15,Monday,Morning,53.4
25.3,Low,Clear,Highway,Bike,85.3,6,Wednesday,Peak Hour,23.2
29.2,High,Fog,City,Bike,22.7,18,Thursday,Afternoon,88.5
46.0,Medium,Clear,Rural,Bike,49.9,10,Wednesday,Night,63.5
40.4,Medium,Clear,City,Bike,44.5,20,Friday,Morning,67.1
23.7,Medium,Rain,Highway,Car,59.4,5,Wednesday,Night,30.3
36.5,Medium,Cloudy,City,Car,28.2,18,Thursday,Afternoon,89.6
30.1,Low,Clear,Highway,Bike,91.4,6,Thursday,Morning,21.8
25.6,Medium,Cloudy,Highway,Bike,71.8,6,Thursday,Evening,27.6
11.2,High,Cloudy,Highway,Bike,62.1,6,Friday,Afternoon,19.4
24.3,Low,Clear,City,Car,50.7,15,Thursday,Afternoon,38.7
13.8,Low,Fog,City,Car,32.5,12,Monday,Morning,33.7
45.9,Low,Fog,Highway,Bus,58.1,9,Sunday,Morning,57.4
18.1,Low,Cloudy,City,Bike,55.4,13,Thursday,Afternoon,24.6
47.7,High,Clear,City,Bus,15.8,24,Wednesday,Morning,198.3
27.6,Medium,Cloudy,City,Bike,23.9,16,Saturday,Peak Hour,79.7
32.3,Medium,Clear,Highway,Bike,74.1,7,Wednesday,Morning,29.8
28.1,Low,Clear,City,Bike,51.4,16,Saturday,Evening,41.0
8.2,Medium,Clear,City,Bus,32.5,10,Wednesday,Morning,17.3
20.0,Medium,Clear,Highway,Bike,77.9,5,Friday,Afternoon,19.3
6.8,Low,Rain,Highway,Bike,71.6,3,Wednesday,Peak Hour,15.5
31.9,Medium,Cloudy,City,Car,38.0,17,Friday,Morning,58.5
23.4,Medium,Cloudy,Rural,Car,43.8,6,Friday,Peak Hour,40.1
39.3,Medium,Clear,City,Bike,38.9,19,Thursday,Morning,67.9
12.6,Medium,Clear,City,Car,42.0,12,Monday,Night,24.8
9.9,Low,Clear,City,Car,49.5,11,Saturday,Evening,13.6
21.5,Medium,Fog,City,Car,15.0,14,Thursday,Peak Hour,102.2
46.5,Medium,Clear,Highway,Car,61.0,9,Thursday,Evening,54.3
36.1,Medium,Rain,City,Car,26.0,18,Sunday,Evening,94.9
22.1,High,Cloudy,Rural,Car,32.4,8,Friday,Morning,47.4
26.8,Medium,Clear,City,Bus,35.0,16,Friday,Morning,54.7
6.0,Low,Cloudy,Rural,Car,46.5,4,Saturday,Peak Hour,13.0
49.3,Low,Clear,City,Car,46.6,22,Wednesday,Afternoon,72.2
34.0,Medium,Rain,Highway,Car,59.6,7,Wednesday,Afternoon,42.8
15.7,Low,Rain,Rural,Bike,61.5,5,Thursday,Night,19.6
30.1,Medium,Clear,Highway,Car,70.1,6,Tuesday,Afternoon,31.2
7.3,High,Clear,City,Bike,24.3,12,Tuesday,Peak Hour,34.2
48.4,Medium,Cloudy,Highway,Bike,71.6,9,Wednesday,Night,50.1
10.4,Medium,Rain,Highway,Bike,69.2,3,Tuesday,Evening,16.7
33.1,Medium,Clear,City,Car,29.0,17,Sunday,Peak Hour,82.8
13.8,Medium,Cloudy,Highway,Bike,77.3,4,Wednesday,Morning,16.3
36.4,Medium,Cloudy,City,Car,37.8,18,Friday,Afternoon,64.8
